feat1,feat2,feat3,feat4,Name
5.1,3.5,1.4,0.2,Stu.Meng
4.9,3,1.4,0.2,Stu.Meng
4.7,3.2,1.3,0.2,Stu.Meng
4.6,3.1,1.5,0.2,Stu.Meng
5,3.6,1.4,0.2,Stu.Meng
5.4,3.9,1.7,0.4,Stu.Meng
4.6,3.4,1.4,0.3,Stu.Meng
5,3.4,1.5,0.2,Stu.Meng
4.4,2.9,1.4,0.2,Stu.Meng
4.9,3.1,1.5,0.1,Stu.Meng
5.4,3.7,1.5,0.2,Stu.Meng
4.8,3.4,1.6,0.2,Stu.Meng
4.8,3,1.4,0.1,Stu.Meng
4.3,3,1.1,0.1,Stu.Meng
5.8,4,1.2,0.2,Stu.Meng
5.7,4.4,1.5,0.4,Stu.Meng
5.4,3.9,1.3,0.4,Stu.Meng
5.1,3.5,1.4,0.3,Stu.Meng
5.7,3.8,1.7,0.3,Stu.Meng
5.1,3.8,1.6,0.2,Stu.Meng
4.6,3.2,1.4,0.2,Stu.Meng
5.3,3.7,1.5,0.2,Stu.Meng
5,3.3,1.4,0.2,Stu.Meng
7,3.2,4.7,1.4,Dr.Jiang
6.4,3.2,4.5,1.5,Dr.Jiang
6.9,3.1,4.9,1.5,Dr.Jiang
5.5,2.3,4,1.3,Dr.Jiang
6.5,2.8,4.6,1.5,Dr.Jiang
5.7,2.8,4.5,1.3,Dr.Jiang
6.3,3.3,4.7,1.6,Dr.Jiang
4.9,2.4,3.3,1,Dr.Jiang
6.6,2.9,4.6,1.3,Dr.Jiang
5.2,2.7,3.9,1.4,Dr.Jiang
5,2,3.5,1,Dr.Jiang
5.9,3,4.2,1.5,Dr.Jiang
6,2.2,4,1,Dr.Jiang
6.1,2.9,4.7,1.4,Dr.Jiang
5.6,2.9,3.6,1.3,Dr.Jiang
6.7,3.1,4.4,1.4,Dr.Jiang
